# Formato: Nombre,Apellido,Apodo,TelefonoMovil,TelefonoConvencional,Correo
Carlos,Pérez,Luapodo,0965432109,025678901,carlos.perez@email.com
Carmen,Rodríguez,Carmi,0954321098,026789012,carmen.rodriguez@email.com
Beatriz,Sánchez,Bea,0943210987,027890123,beatriz.sanchez@email.com
Bruno,Luapellido,Bruh,0932109876,028901234,bruno.torres@email.com
Luis,Díaz,Lucho,0921098765,029012345,luis.diaz@email.com
Luisiana,Fernández,XD,0910987654,020123456,laura.fernandez@email.com
Ana,García,Anita,0991234567,022345678,ana.garcia@email.com
Andres,López,NotAndy,0987654321,023456789,andres.lopez@email.com
Andrea,Martínez,Andie,0976543210,024567890,andrea.martinez@email.com
Ana,Ruiz,Anita2,0909876543,021234567,ana.ruiz@email.com
